haiku|Chladný spánek,|plamen ticha.|Krev i sláva,|touha dýchá.
h1|Ve tmě se rozzáří|krev hučí v kamenní|strach se zhmotnil|již není úkrytu.
h2|Ledová záře|se roztančí na čepeli|smrt spí v ostří|jeden úder a konec.
h3|Popraskaná čepel|žár v ní dýchá|v boji hořím jak oheň|v popel obrátím nepřátele.
hard||Po prvním|použití|nezahoď
anger||Zaútoč hned|i druhou|zbraní
swap||Prohoď se|s jiným|hrdinou
lure||Přilákej|obludu z|jiného pole
steal||Zbraň si vem|z ruky hráče
haiku_02|Dopadne úder,|nebe se trhá,|hory se hroutí,|bohové mlčí.
haiku_03|Trn hledá srdce,|touží bodnout hlouběji,|rudý opar zastře zrak,|do noci se směji.
haiku_04|Ledový vítr,|šíp mizí v mlze,|mraky z oceli|rozetnou blesky.
haiku_05|Jiskra padlé hvězdy,|žár dýchá v kleci,|tmu prořízne světlo,|nikdo nezvládne utéci.
haiku_06|Křehký je osud,|když shoří naděje,|ticho se vytratí|a srdce se vzdá.
haiku_13|Led ukrytý v trnu,|stíny tančí nocí,|záře roztrhne tmu,|a čas se zastaví.
haiku_23|Runy spletené z ticha,|zpečetěné na věčnost,|jen stíny a tvůj dech,|sám si píšu svůj osud.
haiku_25|Volání hlubin,|jsoucno se tříští,|život se láme,|mrtvo na bojišti.
haiku_26|Smršť ohně a trnů,|nebe zadrží dech,|vítr rozsévá hněv,|pád je nevyhnutelný.
haiku_32|Volám tě, stíne,|přines mi sílu.|Klid své duše|vykoupím krví.
haiku_34|Vzplane rudé světlo.|Luna se napije krve,|do tmy směle vkročim,|nad nocí teď vládnu.
haiku_35|Ve tmě zazáří,|krev hučí v kameni,|strach se zhmotní,|přede mnou není úkrytu.
haiku_42|Ocel a pradávné runy,|nesmírná je síla slov,|moudrost a umění války|vše v prach obrátí.
haiku_44|Slyš ticho věků,|hlas bez ozvěny,|já volám prázdno|a ono mi odpoví. 
haiku_45|Řetězy prasknou,|oheň se rozlije,|běsy se vyhrnou,|popel vše zakryje.
haiku_46|Sféra vězní bouři,|hněv držený na řetězu,|obrátí se v plamen|a smrt v tanci krouží.
haiku_51|Plamen líbá mráz,|žár v ledu spí,|úder tříští svět,|čas ztrácí vládu.
haiku_52|Tmavé ostří šeptá,|potají sbírá sílu,|lebky v něm spí,|a duše křičí.
haiku_53|Ledová záře|tančí na čepeli,|smrt v ostří spí,|v jediném úderu konec.
haiku_54|Ledový dech|a srdce ze zlata.|Když se obnaží,|krev mrzne strachem.
haiku_55|Černá ostrá čepel,|žár v ní dýchá,|v boji hořím jak oheň,|nepřátele obrátím v popel.
haiku_63|Zlaté runy září,|meč v srdci nese|moudrost hvězd,|věčný ochránce bdí.
haiku_65|Skrytý plameni,|jenž sevře dech,|rozsviť mou cestu,|než přijde konec.
haiku_71|Letím s větrem,|za sebou popel,|šíp je modlitba,|co pálí hříchy.
haiku_72|Ektoplazma houstne,|tětiva šeptá jména,|duše trnou strachem,|neb jejich konec je tu.
haiku_74|Blesky na tětivě,|z ticha padá zkáza,|jako bouře zuřím,|přesný a nemilosrdný.
haiku_73|Sníh tiše klesá,|tětiva zní jasně,|rozhrnou se nebesa,|na živu jsi dočasně.
haiku_75|Vrásky stáří na dřevě,|šíp protne vzduch,|Zubaté, té neutečem,|a uzavře se kruh.
haiku_43|Závoj klesne níže,|jasný křišťál zašeptá,|kreslí chladný tah,|zima přijde blíže.
haiku_64|Předci kráčí po boku,|hrot nalpní slib,|tíha rodu trvá,|dědictví neuhasne.
haiku_66|Vichr snese mstu,|plameny víří v jádru,|žár si hledá cestu,|zkáza zraje v pouzdru.

