AA|Můj sál trofejí vyráží dech,|v očích medvědích plápolá vztek.
UU|Nemrtvých stíny se|přede mnou sklánějí,|zpět do hrobů se tiše vracejí.
HH|Meč můj v pekelném ohni se potí,|čaroděje smrtí jednou provždy|zkrotí.
DD|Mečem píši znaky strasti,|démoni padají do pasti,|mé síly v noci vzrůstají.
AUH|Démon přec má u mě šanci,|zpět do temnot rodného ohně,|směrem já ho pošlu k tanci.
UHD|Střežím fauny klid,|příroda není zlo,|žij a nech je žít.
AHD|Knihy šeptají dávné příběhy,|rok za rokem tiše vypráví,|ztraceny ve stínech temnoty.
AUD|Meč je můj štít,|ochráním tě, ať tma|či svit.
AxA|Kroky s medvědem v horách duní,|vedu smečku tiše zasněženou,|síla v nás hluboko dřímá.
UxU|Stíny padnou, duchové prchnou,|přináším konečnou zkázu všude,|kde nohy mé vpřed se pohnou.
HxH|Meč skřípe v tichu kouzel noci,|jsem ochránce, věčný strážce,|svatyně s tajemnou mocí.
DxD|Následuj mě při plamenech noci,|jsem vůdce temného hněvu,|a vládnu skrytou mocí.
xAA|Kopí se zableskne, rudý drak padá,|hrdina čelí svůj osud sám,|proti smrti se odhodlaně vzpírá.
xUU|Ohnivým lukem k srdci zasáhnu,|lich padá, krajina v tichu spí,|nocí se snáší padající stíny.
xHH|Mečem protnu temnou noc,|čaroděj už nemá žádnou moc,|vítězím s úsvitem v očích.
xDD|Láva i oheň ustoupí mému kroku,|s palcátem se postavím sám,|všemu zlu i každému soku.
cxA|Vlci prchají, tábor v klidu spí,|ochrana pevná v noci i dni,|noc ustupuje, když vstávám z mlhy.
cxU|Kladivo bije do ticha noci,|smrt mizí s ránem a světlem,|ve jménu světla vítězím nad mocí.
cxH|Městská brána pevně stojí,|síla a magie v jedno se spojí,|město chrání mocné sliby.
cxD|Kopím bránu zlu zavřu stůj co stůj,|démony snad zkrotím v žáru,|vítězství nese novou víru.
xAr|Na koni se do rána|žene, pak protne míchu,|Lov končí v mrtvolném tichu.
xUr|Na hřbitov vyrážím potají,|nemrtví přede mnou|do hrobů couvají.
xHr|Psance čeká brzký pád,|ve dne v noci|za žold lovím tuze rád.
xDr|Na démony dlouhý bič,|s právem po boku.|Zlo odejde navždy pryč.

